"Key for ""Category"""			
eup	Euploid segment		
lym	Lymphocyte V(D)J recombination		
put	Putative CNV		
			
Sample	Size (bins)	IntDist	Category
LYMcell32	311	0.013663786	eup
LYMcell32	116	0.022298722	eup
LYMcell32	273	0.016383092	eup
LYMcell32	130	0.046328382	eup
LYMcell32	550	0.023775902	eup
LYMcell32	24	0.482141512	eup
LYMcell32	335	0.00997063	eup
LYMcell32	381	0.035740638	eup
LYMcell32	241	0.000769547	eup
LYMcell32	632	0.012396551	eup
LYMcell32	264	0.027315234	eup
LYMcell32	36	0.117481091	eup
LYMcell32	50	0.039276364	eup
LYMcell32	30	0.425140606	eup
LYMcell32	120	0.047608401	eup
LYMcell32	60	0.063398695	eup
LYMcell32	138	0.004886025	eup
LYMcell32	538	0.002910412	eup
LYMcell32	87	0.021489393	eup
LYMcell32	315	0.005129792	eup
LYMcell34	59	0.009874854	eup
LYMcell34	48	0.042737763	eup
LYMcell34	452	0.027267357	eup
LYMcell34	740	0.034505481	eup
LYMcell34	233	0.00434479	eup
LYMcell34	139	0.038471467	eup
LYMcell34	851	0.038444624	eup
LYMcell34	564	0.000753451	eup
LYMcell34	6	0.265908183	eup
LYMcell34	110	0.053142487	eup
LYMcell34	16	0.024489901	eup
LYMcell34	1534	0.014374063	eup
LYMcell34	1462	0.049383848	eup
LYMcell34	252	0.030264275	eup
LYMcell34	63	0.101777923	eup
LYMcell34	443	0.053843748	eup
LYMcell34	128	0.002987518	eup
LYMcell34	104	0.023910386	eup
LYMcell34	504	0.001777556	eup
LYMcell34	484	0.015095322	eup
LYMcell34	287	0.077169295	eup
LYMcell34	193	0.131946987	eup
LYMcell34	26	0.069901456	eup
LYMcell34	135	0.031571959	eup
LYMcell34	695	0.022585088	eup
LYMcell34	618	0.083980913	eup
LYMcell34	509	0.021384831	eup
LYMcell34	119	0.02998451	eup
LYMcell34	1229	0.029272219	eup
LYMcell34	214	0.024607306	eup
LYMcell34	721	0.011031443	eup
LYMcell34	76	0.027949951	eup
LYMcell34	236	0.02867902	eup
LYMcell34	976	0.026976637	eup
LYMcell34	237	0.026570371	eup
LYMcell34	1065	0.013287748	eup
LYMcell34	53	0.126712686	eup
LYMcell34	515	0.074446376	eup
LYMcell34	598	0.041705949	eup
LYMcell34	66	0.024794693	eup
LYMcell34	752	0.020838423	eup
LYMcell34	241	0.013616288	eup
LYMcell34	53	0.115498355	eup
LYMcell34	185	0.081502005	eup
LYMcell34	939	0.006429164	eup
LYMcell34	595	0.05247332	eup
LYMcell34	134	0.032495712	eup
LYMcell34	133	0.004358908	eup
LYMcell34	886	0.006924679	eup
LYMcell34	593	0.044644864	eup
LYMcell34	539	0.03074246	eup
LYMcell34	37	0.099780607	eup
LYMcell34	152	0.045443729	eup
LYMcell34	96	0.047493588	eup
LYMcell34	160	0.097716842	eup
LYMcell34	193	0.073526236	eup
LYMcell35	308	0.039022029	eup
LYMcell35	134	0.138482283	eup
LYMcell35	179	0.041136475	eup
LYMcell35	269	0.163021956	eup
LYMcell35	133	0.121875301	eup
LYMcell35	82	0.047144191	eup
LYMcell35	64	0.169741665	eup
LYMcell35	44	0.141685189	eup
LYMcell35	83	0.048331811	eup
LYMcell35	7	0.365634662	eup
LYMcell35	16	0.212329165	eup
LYMcell35	101	0.150704693	eup
LYMcell35	25	0.019956628	eup
LYMcell35	77	0.088402311	eup
LYMcell35	655	0.070616361	eup
LYMcell35	75	0.149731905	eup
LYMcell35	618	0.025997439	eup
LYMcell35	107	0.06974926	eup
LYMcell35	165	0.065455299	eup
LYMcell35	258	0.015744852	eup
LYMcell35	279	0.078179594	eup
LYMcell35	260	0.053773932	eup
LYMcell35	162	0.044893367	eup
LYMcell35	290	0.074861998	eup
LYMcell35	101	0.194848591	eup
LYMcell35	31	0.480352629	eup
LYMcell35	508	0.086375403	eup
LYMcell35	250	0.000624683	eup
LYMcell35	439	0.046635802	eup
LYMcell35	165	0.025971939	eup
LYMcell35	17	0.008431612	eup
LYMcell35	155	0.09200417	eup
LYMcell35	12	0.118483533	eup
LYMcell35	152	0.027323739	eup
LYMcell35	244	0.042633324	eup
LYMcell35	8	0.11142178	eup
LYMcell35	15	0.020098393	eup
LYMcell35	458	0.408964044	eup
LYMcell35	135	0.148346776	eup
LYMcell35	99	0.236613017	eup
LYMcell35	72	0.093688548	eup
LYMcell35	544	0.275173348	eup
LYMcell35	281	0.37515661	eup
LYMcell35	26	0.159253726	eup
LYMcell35	10	0.364013008	eup
LYMcell35	76	0.071674774	eup
LYMcell35	117	0.464297634	eup
LYMcell35	133	0.172987049	eup
LYMcell35	1134	0.075853254	eup
LYMcell35	178	0.192313748	eup
LYMcell35	29	0.189249857	eup
LYMcell35	85	0.210697998	eup
LYMcell35	181	0.109581242	eup
LYMcell35	959	0.065191788	eup
LYMcell35	893	0.052004719	eup
LYMcell40	1907	0.036255401	eup
LYMcell40	561	0.128943036	eup
LYMcell40	1230	0.077179314	eup
LYMcell40	1131	0.06680992	eup
LYMcell40	403	0.172635508	eup
LYMcell40	1474	0.039051774	eup
LYMcell40	321	0.051372625	eup
LYMcell40	1128	0.041007159	eup
LYMcell40	1446	0.044303585	eup
LYMcell40	1295	0.063443034	eup
LYMcell40	1261	0.027297696	eup
LYMcell40	1094	0.035423631	eup
LYMcell40	93	0.054514218	eup
LYMcell40	1271	0.035713764	eup
LYMcell40	1155	0.108837644	eup
LYMcell40	1065	0.047658809	eup
LYMcell40	52	0.016950536	eup
LYMcell40	241	0.014294182	eup
LYMcell40	269	0.117518305	eup
LYMcell40	86	0.11762348	eup
LYMcell40	213	0.054079992	eup
LYMcell40	450	0.138239665	eup
LYMcell40	346	0.126992332	eup
LYMcell40	272	0.004304865	eup
LYMcell40	893	0.108679892	eup
LYMcell40	886	0.026548888	eup
LYMcell40	593	0.028231577	eup
LYMcell40	160	0.005571356	eup
LYMcell40	245	0.06220485	eup
LYMcell40	49	0.064194483	eup
LYMcell43	207	0.136036191	eup
LYMcell43	64	0.181534856	eup
LYMcell43	121	0.046879035	eup
LYMcell43	80	0.084186622	eup
LYMcell43	183	0.054024062	eup
LYMcell43	65	0.008319839	eup
LYMcell43	872	0.026561525	eup
LYMcell43	1552	0.079785208	eup
LYMcell43	236	0.07627842	eup
LYMcell43	967	0.032842565	eup
LYMcell43	562	0.0625257	eup
LYMcell43	399	0.029976363	eup
LYMcell43	175	0.020265817	eup
LYMcell43	169	0.031013436	eup
LYMcell43	369	0.030317707	eup
LYMcell43	998	0.029980295	eup
LYMcell43	324	0.044776967	eup
LYMcell43	120	0.11420139	eup
LYMcell43	80	0.182296886	eup
LYMcell43	160	0.006065201	eup
LYMcell43	650	0.084281951	eup
LYMcell43	233	0.09026076	eup
LYMcell43	281	0.031495924	eup
LYMcell43	184	0.037780478	eup
LYMcell43	499	0.003369029	eup
LYMcell43	224	0.031876835	eup
LYMcell43	121	0.107663636	eup
LYMcell43	82	0.081712092	eup
LYMcell43	621	0.0310874	eup
LYMcell43	181	0.036884205	eup
LYMcell43	436	0.071785152	eup
LYMcell43	450	0.161866774	eup
LYMcell43	341	0.08126343	eup
LYMcell43	428	0.00730929	eup
LYMcell43	262	0.016427653	eup
LYMcell43	283	0.082857711	eup
